*bruski	browbeat
Dundino	Dunedin
Dundio	Dundee
Dunfarlino	Dunfermline
Dungarvano	Dungarvan
Dunkeldo	Dunkeld
Dunkerko	Dunkirk
Dunkirko	Dunkirk
Dunono	Dunoon
Durhamo	Durham
Duŝanbeo	Dushanbe
Dzungario	Dzungaria
Dzungarujo	Dzungaria
E-kordo	E-chord
ELNA	Esperanto-Ligo por Norda Ameriko
Eako	Aeacus
Ebro	Ebro
Ebur-Bordo	Ivory Coast
Ebura Marbordo	Ivory Coast
Eburio	Ivory Coast
Edamo	Edam
Edeno	Eden
Edgaro	Edgar
Edinburgo	Edinburgh
Edmundo	Edmund
Eduardo	Edward
Edvardinsulo	Prince Edward Island
Efeso	Ephesus
Efezo	Ephesus
Egea Maro	Aegean, Aegean Sea
Egeaj Insuloj	Aegean Islands
Egeja Maro	Aegean Sea
Egiptio	Egypt
Egipto	Egyptian
Egiptujo	Egypt
Egiro	Aegir
Eiffel-turo	Eiffel Tower
Ejfelturo	Eiffel Tower
Ejnŝtejno	Einstein
Ejro	Ireland
Ekscelenco	Excellency / excellency
Ekstrema Oriento	Far East, the Far East
Ekvadoro	Ecuador
Ekvatora Gvineo	Equatorial Guinea
El kie vie estas?	Where are you from?
Elamo	Elam
Elaĉetinto	Redeemer, Saviour / Redeemer, Savior
Elbo	Elba
Elbruso	Mount Elbrus
Eldorado	El Dorado
Elenhaveno	Port Ellen
Elgino	Elgin
Elicinsuloj	Ellice Islands
Elinjo	Lizzie, Liz
Elio	Elias
Eliro	Exodus
Elizabeto	Elizabeth
Elizeaj Kampoj	Champs-Élysées
Elizeo	Elysium
Elsalvadoro	El Salvador
Elzaco	Alsace, Elsass
Elzaso	Alsace
Emakso	Emacs
Eneado	Aeneid
Eneido	Aeneid
Eneo	Aeneas
Engadino	Engadin
Enistimo	Ennistimon
Entempligo	Presentation
Eoceno	Eocene
Eolio	Aeolia
Eolo	Aeolus
Eoso	Eos
Epifanio	Epiphany, Twelfth-night
Epikuro	Epicure
Eratostena kribrilo	Eratosthenes’ Sieve
Erevono	Erewhon
Erino	Erin
Erio	Lake Erie, Lake Eyre
Eriskajo	Eriskay
Eriso	Eris
Eritreo	Eritrea
Ermelo	Ermelo
Eskineso	Aeschines
Eskulapo	Aesculapius
Esperantigo	Esperanto localization
Esperantio	Esperantoland
Esperanto	Esperanto
Esperantolando	Esperanto-land
Esperantujo	Esperantoland
Esplorilo	Internet Explorer
Estero	Estero
Estimata Sinjoro	Dear Sir
Estonio	Estonia
Estonujo	Estonia
Esĥilo	Aeschylus
Etendebla Hiperteksta Marklingvo	XHTML, Extensible Hypertext Markup Language
Etendebla Marklingvo	XML, Extensible Markup Language
Etendebla Stilfolia Lingvo	XSL, Extensible Stylesheet Language
Eternulo	Lord (God)
Eterreto	Ethernet
Etiopio	Abyssinia, Ethiopia
Etiopujo	Abyssinia, Ethiopia
Etno	Etna
Etruskio	Etruria
Etruskujo	Etruria
Eva	Eve
Evangelio	gospel
Everesto	Everist / Everest
Evergreno	Evergreen
Evo	Eva / Eve
Ezopo	Aesop
Eĥo	Echo
Eŭfrato	Euphrates
Eŭkaristo	Eucharist
Eŭklida	Euclidean, Euclid’s
Eŭklida algoritmo	Euclid’s Algorithm
Eŭklida spaco	Euclidean space
Eŭklido	Euclid
Eŭlero	Euler
Eŭrazio	Eurasia
Eŭropa	European
Eŭropa Unio	European Union
Eŭropa cifero	European digit
Eŭropano	European
Eŭropo	Europe
Eŭĥaristio	Eucharist
F-ino	Fraŭlino
F-klefo	bass clef
FK	Fundamenta Krestomatio
FM-dissendilo	FM transmitter
FM-ricevilo	FM receiver
FTP-aŭtentigo	FTP authentication
FTP-ejo	FTP site
Faetono	Phaeton
Fafno	Fafner
Fajrfokso	Firefox
Fajrolando	Tierra del Fuego
Fajrovulpo	Firefox
Falkirko	Falkirk
Falklandoj	Falkland Islands
Farado	Faraday
Farenhejto	Fahrenheit
Fareso	Forres
Fato	Fate
Faŭsto	Faust
Feba	Phoebe
Febo	Phoebus
Februaro	February
Federacia Respubliko Germanujo	German Federal Republic
Fek!	crap!, shit !
Felikso	Felix (name)
Feliĉan Kristnaskon!	Merry Christmas!
Feliĉan Novjaron!	Happy New Year!
Fenro	Fenris
Ferdinando	Ferdinand
Fermdigo	IJsselmeer Dam
Fermu la faŭkon!	Shut up!, Shut your trap!
Feroaj Insuloj	Faeroes
Ferooj	Faroe Islands
Festo de Laŭboj	Feast of Tabernacles
Festo de Sankta Patriko	St. Patrick’s Day
Festo de la Sankta Triuno	Trinity Sunday
Festo de la Sankta Triunuo	Trinity Sunday
Festo de Ĉiuj Sanktuloj	All Saints’ Day / All Saints' Day
Festo de ĉiuj Sanktuloj	All Saints' Day
Fi!	Shame!
Fibonaĉi	Fibonacci
Fibonaĉia sekvenco	Fibonacci series
Fibonaĉia serĉo	Fibonacci search
Fieru pri ŝi!	Be proud of her!
Filipina Maro	Philippine Sea
Filipinoj	Philippine Islands, Philippines
Finna Golfo	Gulf of Finland
Finnio	Finland
Finnlando	Finland
Finnujo	Finland
FireWire-datumbuso	FireWire data bus
Firewire-datumbuso	firewire
Fiĝiinsuloj	Fiji Islands
Fiĝio	Fiji
Flajfiŝkovo	Flying Fish Cove
Flandraj Ardenoj	Flemmish Ardennes / Flemish Ardennes
Flandrio	Flanders
Flandrujo	Flanders
Flash-animacio	Flash animation
Flash-movbildo	Flash animation
Flava Maro	Yellow Sea
Flava Rivero	Huang He, Yellow River
Flinto	Flint
Flisingo	Flushing
Flitvudo	Fleetwood
Florenco	Florence
Florfontano	Bloemfontein
Florido	Florida
Fobo	Phobos
For de mia vido!	Get out of my sight!
Foraj Hebridoj	Outer Hebrides
Forfaro	Forfar
Foriru!	Be off!
Formoso	Formosa
Forno	Fornax
Fortaŭgusto	Fort Augustus
Fortuno	Fortune
Forĝu feron dum ĝi estas varmega	Strike while the iron is hot
Franca Giano	French Guiana
Franca Gujano	French Guiana
Franca Gviano	French Guinea
Franca Polinezio	French Polynesia
Francaj Sudaj Teritorioj	French Southern and Antarctic Lands
France	in French
Francio	France
Francisko	Francis
Franclando	France
Franco	Frenchman
Francujo	France
Frankfurto	Frankfort, Frankfurt
Frankfurto ĉe la Majno	Frankfort upon the Main
Frankonio	Franconia
Frazerburgo	Fraserburgh
Frederiko	Frederick
Freŭdo	Freud
Frisio	Frisia
Frislando	Friesland / Frisia
Friso	Frisian
Frisujo	Frisia
Fritaŭno	Freetown
Frizonio	Friesland
Frizonujo	Friesland
Fuĵi-monto	Fujiyama
G	sol (music)
GIF-dosiero	GIF file
GIF-movbildo	animated GIF, GIF animation
Gaberono	Gaberone (capital of Botswana)
Gabono	Gabon
Gaborono	Gaborone
Gabrielo	Gabriel
Gadidoj	children of Gad (Old Testament)
Gajo	Caius, Gaius
Galapagoinsuloj	Gal@pagos Islands / Galapagos Islands / Gal pagos Islands
Galapagoj	Galapagos Islands
Galaŝilzo	Galashiels
Galegio	Galicia
Galegujo	Galicia
Galezo	Galois
Galicio	Galicia
Galicujo	Galicia
Galileo	Galilee
Galilio	Galilee
Galilujo	Galilee
Gallo	Gaul
Galvajo	Galway
Gambilando	Gambia
Gambio	Gambia
Ganao	Ghana
Gango	Ganges
Ganimedo	Ganymede
Gano	Ghana
Gant-diagramo	Gantt chart
Gantdiagramo	Gantt chart
Ganĝeso	Ganges
Gario	Gary
Garloĥo	Gairloch
Garvo	Garve
Gaskona Golfo	Bay of Biscay
Gaskonio	Gascony
Gaskonujo	Gascony
Gasparo	Gaspard
Gastono	Gaston
Gazao	Gaza
Gaŭlio	Gaul
Gaŭlo	Gaul
Gaŭlujo	Gaul
Gaŭsa eliminado	Gaussian elimination
Gaŭso	Gauss
Geheno	Gehenna, hell
Gejsersvilo	Geysersville
Gelaso	Galashiels
Gelderlando	Guelderland, Guelders
Geldrio	Guelderland, Guelders
Geldrujo	Guelderland, Guelders
Genezo	Genesis
Gento	Ghent
Geo	Gaia
Georg-Taŭno	Georgetown (Cayman Islands)
Georgio	Georgia (American state)
Georgo	George
Georgtaŭno	Georgetown (Guyana)
Gerardo	Gerard
Germana	German
Germana Demokratia Respublik	East Germany, GDR
Germana Demokratia Respubliko	German Democratic Republic, East Germany / GDR
Germana Federacia Respubliko	German Federal Republic
Germanio	Germany
Germanlando	Germany
Germanujo	Germany
Getshedo	Gateshead
Gibraltaro	Gibraltar
Gideono	Gideon
Gigo	Gigha
Gilbertinsuloj	Gilbert Islands
Gilberto	Gilbert
Gilgameŝo	Gilgamesh
Ginevro	Guinevere
Glasgovano	Glaswegian
Glasgovo	Glasgow
Glavo de Damoklo	Sword of Damocles
Glenjuĥo	Linlithgow
Glenko	Glencoe
Globo	Globe
Godela numerado	Gödel numbering
Godela numero	Gödel number
Godelo	Gödel
Gogo	Gog
Golgoto	Calvary, Golgotha
Goliato	Goliath
Golspio	Golspie
Gondvano	Gondwana (supercontinent)
Gonzalo	Gonzalez, Gonzales
Google	Google
Gorgono	Gorgon
Gotaburgo	Gothenburg
Gotamo	Gautama, Gotama
Gotenburgo	Gothenburg, Göteborg
Gracio	Grace
Grajaj Alpoj	Graian Alps
Gralkavaliro	Grail Knight
Gralo	Grail
Gramonto	Grammont
Granado	Granada
Granda Bernero	Great Bernera
Granda Bulgarujo	Great Bulgaria
Granda Fasto	Lent, Ramadan
Granda Fiŝista Benko	Great Fisher Bank
Granda Frato	Big Brother
Granda Muro	Great Wall, Great Wall of China
Granda Sklavolago	Great Slave Lake
Granda Turko	Grand Turk (Turks and Caicos Islands)
Granda Ursino	Great Bear, Greater Bear
Granda Ursolago	Great Bear Lake
Grandaj Antiloj	Greater Antilles
Grandpolujo	Great Poland, Greater Poland
Graveto	Gravettian, Gravettian toolmaking culture
Gregorio	Gregory
Grejo	Gray
Grekio	Greece
Greklando	Greece
Greko	Greek
Grekujo	Greece
Grenado	Grenada
Grendlo	Grendel
Grenlanda Maro	Greenland Sea
Grenlando	Greenland
Grimzbio	Grimsby
Grinoko	Greenock
Groenlando	Greenland
Groningeno	Groningen
Gronlanda Maro	Greenland Sea
Gronlando	Greenland
Grundo-Nulo	Ground Zero
Gruo	Grus
Gruzio	Georgia
Gruzujo	Georgia
Guglo	Google
Gujano	Guyana
Gvadelupo	Guadalupe
Gvajanio	Guyana
Gvajano	Guyana
Gvamo	Guam
Gvatemalio	Guatemala
Gvatemalo	Guatemala
Gvatemalo-urbo	Guatemala City
Gvatemalurbo	Guatemala City
Gvedburgo	Jedburgh
Gvemstaŭno	Jamestown
Gveneralaj Ŝtatoj	States General
Gveneva Lago	Lake of Geneva
Gvenevo	Geneva
Gvenova Golfo	Gulf of Genoa
Gvenovo	Genoa
Gveponto	Bridge of Dee
Gvibraltara Markolo	Strait of Gibraltar
Gvibraltaro	Gibraltar
Gvibutio	Djibouti
Gvineo	Guinea
Gvineo-Bisaŭo	Guinea-Bissau
Gvungario	Dzungaria
H-bombo	H-bomb
HTML-atributo	HTML attribute
HTML-elemento	HTML component
HTML-etikedo	HTML tag
HTML-legilo	HTML viewer
HTML-redaktilo	HTML editor
HTML-redaktilo vidate-vidota	WYSIWYG HTML editor
HTML-subtenata signo	character entity
HTTP-kompaktigo	HTTP compression
HTTP-peto	HTTP request
Hadeso	Hades
Hago	The Hague
Haitio	Haiti
Haito	Haiti
Haloveno	Halloween
Halovino	Halloween
Hamburgo	Hamburg
Hamiltona problemo	Hamilton’s problem
Hamiltono	Hamilton
Hamleto	Hamlet
Hanafismo	Hanafi (law)
Hanibalo	Hannibal
Hanojaj turoj	towers of Hanoi
Hanojo	Hanoi
Hanovro	Hanover
Hanso	Hanse, Hanseatic League
Har-Magedon	Armageddon
Harareo	Harare
Hariso	Harris
Harlemo	Harlem
Haroldo	Harold
Havajo	Hawaii
Havano	Havana
Haviko	Hawick
Havro	Havre
Hebrea Biblio	Tanakh, Hebrew Bible, Hebrew Scriptures, Jewish Bible
Hebreino	jewess
Hebreismo	Hebraism
Hebreo	Hebrew
Hebreoj	Hebrews
Hebridoj	Hebrides, Western Islands
Hekato	Hecate
Hektoro	Hector
Helaso	Hellas
Heldero	Den Helder
Helenismo	Hellenism
Heleno	Helen
Helesponto	Dardanelles, Hellespont
Helmsdalo	Helmsdale
Helsinko	Helsinki
Helvetio	Helvetia
Henegovio	Hainault, Henegovia
Henriko	Henry
Heraklidoj	Heracleidae, Heraclids, descendants of Heracles, descendants of Hercules
Heraklo	Heracles, Hercules
Hercegovino	Herzegovina
Herefordo	Hereford
Herkulo	Heracles, Hercules
Hermano	Herman
Hermeso	Hermes
Hermita spaco	unitary space
Hermito	Hermite
Hermo	Hermes
Hero	Hera
Herodoto	Herodotus
Hespero	Hesperus
Hestio	Hestia
Hesujo	Hesse
Hevisido	Heaviside
Hezioto	Hesiod, Hesiodos
Heĝiro	Hegira
Hidro	Hydra
Hieronimo	Jerome
Hilberto	Hilbert
Himalajo	Himalayas
Himalajoj	Himalayas
Hinda Oceano	Indian Ocean
Hindio	India
Hindo	Hindu, Indian
Hindoĉinio	Indo-China
Hindoĉinujo	Indo-China
Hindujo	India
Hindukuŝo	Hindu Kush
HiperTeksta MarkLingvo	hypertext markup language, HTML
Hipno	Hypnos
Hipokrato	Hippocrates
Hipolito	Hippolytus
Hispana Intercivitana Milito	Spanish Civil War
Hispanio	Spain
Hispaniolo	Hispaniola
Hispanlando	Spain
Hispano	Spaniard
Hispanujo	Spain
Hiŝamo	Heysham
Hokajdo	Hokkaido
Hola!	Hold on!, Hey!
Holanda Angulo	Hook of Holland
Holandano	Dutchman, Hollander
Holando	Holland
Holihedo	Holyhead
Holivudo	Hollywood
Homero	Homer
Honduraso	Honduras
Honduro	Honduras
Honkongo	Hongkong / Hong Kong
Honolulo	Honolulu
Horacio	Horace, Horatio
Horloĝo	Horologium
Horuso	Horus
Hoŝea	Hosea
Hoŭlando	Howland Island
Hu!	shoo!
Huberto	Hubert
Hudsongolfo	Hudson Bay
Hudsonkolo	Hudson Strait
Hudsono	Hudson River
Hugo	Hugh, Hugo
Hulfordo	Haverfordwest
Humberto	Humbert, Umberto
Humbro	Humber
Hungario	Hungary
Hungarlando	Hungary
Hungarujo	Hungary
Husejno	Hussein, Hussain
I.L.	Internacia Lingvo
IBM-a kodo	IBM code
IP	IP
IP-adresa	IP address
IP-adresa masko	IP address mask
IP-adreso	IP address
IP-adresoj	IP addresses
IP-alinomigo	IP aliasing
IP-avataro	identicon
IP-esceptoj	IP exceptions
IP-maskado	IP masking, IP masquerading
ISO-kodo	ISO code
Idaho	Idaho
Ido	Ido (constructed language derived from Esperanto)
Igdrasilo	Yggdrasil, Yggdrasill
Iliado	Iliad
Ilinojo	Illinois
Imhotepo	Imhotep
Imiro	Ymir
Indianao	Indiana
Indiano	Indus
Indonezio	Indonesia
Indro	Indra
Induso	Indus
Industriurbo	City of Industry
Inguŝio	Ingushia
Inguŝujo	Ingushia
Iniso	Ennis
Interna Azio	Central Asia
Interna Mongolio	Inner Mongolia
Interna Mongolujo	Inner Mongolia
Internacia Labor Organizaĵo	International Labor Organization
Internacia Mona Fonduso	International Monetary Fund
Internaciisto	internationalist
Internet-adreso	Internet address
Interreta Esplorilo	Internet Explorer
Interreto	internet
Inveraro	Inveraray
Invergaro	Invergarry
Invergordono	Invergordon
Inveruro	Inverurie
Invirnarano	Nairn
Invirniso	Inverness
Invirĥeto	Inverkeithing
Inĝ.	Inĝeniero
Io	Io
Ionia Maro	Ionian Sea
Ionio	Ionia
Iono	Iona
Iovao	Iowa
Ipro	Ypres
Irako	Irak, Iraq
Irano	Iran, Persia
Ireno	Irene
Iriso	Iris
Irkucko	Irkutsk
Irlanda Maro	Irish Sea
Irlandano	Irishman
Irlando	Ireland
Irtiŝo	Irtysh
Isido	Isis
Islamo	Islam
Islandano	Icelander
Islando	Iceland
Islolago	IJsselmeer
Israelo	Israel
Isro	IJzer
Istanbulo	Istanbul
Istrio	Istria
Itako	Ithaca
Italio	Italy
Italo	Italian
Italujo	Italy
Izraelido	Israelite
Izraelo	Israel
Iŝtaro	Ishtar
Jakelino	Jacqueline
Jako de Ĉiametio	Jack-of-all-trades (person who can do many things)
Jakobio	Jacobi
Jakobo	Jacob
Jakutio	Yakutia
Jakutujo	Yakutia
Jalto	Yalta
Jamajka kreola	Jamaican creole
Jamajko	Jamaica
Jamao	Yama (Hindu and Buddhist god of the underworld)
Jamo	Jammu (region of India), Duggar (region of India)
Jamo kaj Kaŝmiro	Jammu and Kashmir (state of India)
Jamusukro	Yamoussoukro (Côte d’Ivoire capital)
Janceo	Yangtze (River)
Jangzio	Yangtze
Janmajeno	Jan Mayen
Jano	Janus
Januaro	January
Japana Maro	Sea of Japan
Japanio	Japan
Japanlando	Japan
Japanujo	Japan
Jaroslavo	Jaroslav
Jasono	Jason
Jaundeo	Yaoundé (Cameroon capital)
Javeo	Yahweh
Javo	Java
Javomaro	Java Sea
Jazono	Jason
Jehovo	Jehovah
Jemeno	Yemen
Jen alia!	Here’s another!
Jeremia	Jeremiah, Jeremy, Jerry, Jeremias
Jeriĥo	Jericho
Jerusalemo	Jerusalem
Jeruzalemo	Jerusalem
Jesuo	Jesus
Jesuo Kristo	Jesus Christ
Jezuito	Jesuit
Jezuo	Jesus
Jida	Yiddish
Jido	Yiddish
Joakimo	Joachim
Johana	John
Johanesburgo	Johannesburg
Johanino	Joan, Joanna, Joanne
Johano	John
Jokohamo	Yokohama
Jona	Jonah, Jonas
Jonika Maro	Ionian Sea
Jonstonatolo	Johnston Atoll
Jordanio	Jordan (country)
Jordano	Jordan
Jorko	York
Jorkŝiro	Yorkshire
Josuo	Joshua, Josh, Jesus, Jason
Jozef el Arimateo	Joseph of Arimathea
Jozefo	Joseph
Joĉjo	Johnny
Joŝuo	Joshua
Judaso	Judas
Judaso Iskariota	Judas Iscariot
Judo	Jew
Judujo	Judea
Jugoslavio	Yugoslavia
Jugoslavujo	Yugoslavia
Jukono	Yukon
Julio	July
Julo	Yule
Junio	June
Juno	Juno
Jupitero	Jupiter
Jupitro	Jove, Jupiter
Jupitro[1]	Jove, Jupiter
Jupitro[2]	Jove, Jupiter
Juro	Jura
Justitio	Justice
Jutio	Jutland
Jutlando	Jutland
Jutujo	Jutland
K-io	Kompanio
KD	(kompakta disko) CD, compact disc
KD-ROM	CD-ROM, CD ROM
KD-a	CD, compact disc
KD-a etikedo	CD label
KD-ilo	CD drive / CD-drive
KD-legilo	CD player, compact disc player, CD-ROM drive, CD ROM drive
KD-registrado	CD mastering
KD-registrilo	CD burner, CD recorder, CD writer
KD-ujo	jewel case
KE	CE (Common Era)
Kabalo	Cabbala
Kabo de Bona Espero	Cape of Good Hope
Kaboprovinco	Cape Province
Kaboverdo	Cape Verde
Kabulo	Kabul
Kaburbo	Cape Town
Kadelo	Cadell
Kafrujo	Kaffraria
Kahero	Caher
Kahersiveno	Cahersiveen
Kaino	Cain
Kairo	Cairo
Kajafo	Caiaphas
Kajleakino	Kyleakin
Kajrvirdino	Carmarthen
Kalabrio	Calabria
Kalabrujo	Calabria
Kaledonio	Caledonia
Kaledonujo	Caledonia
Kalifornia Golfo	Gulf of California
Kalifornio	California
Kalipso	Calypso
Kalisto	Callisto
Kalokalŝo	Kyle of Lochalsh
Kalvario	Calvary, Golgotha
Kalvino	Calvin
Kamarilo	Campbelltown
Kambeltaŭno	Campbelltown
Kamboĝo	Cambodia
Kambriĝo	Cambridge
Kambuslango	Cambuslang
Kameloto	Camelot
Kamerunio	Cameroon
Kameruno	Cameroon, Cameroun
Kamlopso	Kamloops
Kamo	Kama
Kampalo	Kampala
Kampino	Kempenland
Kampuĉeo	Cambodia
Kamĉatko	Kamchatka
Kanaanio	Canaan
Kanaanujo	Canaan
Kanadano	Canadian
Kanadio	Canada
Kanado	Canada
Kanaria Insularo	Canary Islands
Kanariaj Insuloj	Canary Islands
Kanbero	Canberra
Kandelfesto	Candlemas
Kanjo	Cathy
Kankro	Cancer, Crab
Kansaso	Kansas
Kanterburgo	Canterbury
Kantio	Kant
Kantonmento	Cantonment
Kapernaumo	Capernaum
Kapitolo	Capitol
Kaprikorno	Capricorn
Kapverdaj Insuloj	Cape Verde Islands
Karadromo	Carrick-on-Shannon
Karaiba Maro	Caribbean Sea
Karaljo	Crail
Karbonifero	Carboniferous
Kardifo	Cardiff
Kardigano	Cardigan
Karelio	Karelia
Kareno	Carina
Karesmo	Lent
Karia Maro	Karian Sea
Kariba Maro	Caribbean Sea
Karibdo	Charybdis
Karibio	Caribbean
Karibuo	Caribou
Karikfergo	Carrickfergus
Karlajlo	Carlisle
Karlo	Charles
Karlourbo	Charlestown
Karlovo	Carlow
Karnarvono	Caernarvon
Karono	Charon
Karpatoj	Carpathians, Carpathian mountains
Kartago	Carthage
Kartezia produto	Cartesian product
Kartezio	Descartes
Kartuziano	Carthusian
Kartuzio	Chartreuse
Kartvelio	Georgia
Kartvelujo	Georgia
Kasandro	Cassandra
Kasiopeo	Cassiopeia
Kaslebajo	Castlebay
Kaslobaro	Castlebar
Kaspia Maro	Caspian Sea
Kaspio	Caspian Sea
Kastelburgo	Castlebury
Kastilio	Castile
Kastilujo	Castile
Kastoro	Castor
Katalunio	Catalonia
Kataluno	Catalan
Katalunujo	Catalonia
Katarino	Catherine
Kataro	Katar, Qatar
Kategato	Kattegat
Kavano	Cavan
Kazaĥio	Kazakhstan
Kazaĥujo	Kazakhstan
Kaĵuna	Cajun
Kaŝmiro	Kashmir
Kaŭkaza montaro	Caucasus Mountains
Kaŭkazo	Caucasus, Caucasia
Kaŭkazoj	Caucasus
Kbajt	Kbyte
Kejmanoj	Cayman Islands
Kejto	Keith
Kelta Maro	Celtic Sea
Kelvino	Kelvin
Kenjo	Kenya
Kenmaro	Kenmare
Kenozoiko	Caenozoic, Cenozoic
Kentukio	Kentucky
Keopso	Cheops
Keplero	Kepler
Kerbero	Cerberus
Kerero	Kerrera
Kergeloj	Kerguelen
Kesto de Interligo	Ark of the Covenant
Kia blago!	You’re pulling my leg!, You’ve got to be kidding!
Kia sensancaĵo!	What a bunch of baloney!
Kiblo	Qibla (in Mecca)
Kieva Regno	Kievan Rus
Kievo	Kiev
Kijevo	Kieff, Kiev
Kilarnio	Killarney
Kilimanĝaro	Kilimanjaro
Kilino	Killin
Kilkenio	Kilkenny
Kilmarnoko	Kilmarnock
Kilorglino	Killorglin
Kilruŝo	Kilrush
Kilsido	Kilsyth
Kimberlio	Kimberley
Kimrio	Wales
Kimro	Welshman
Kimrujo	Wales
Kinegado	Kinnegad
Kingstono	Kingston
Kinguso	Kingussie
Kinkardino	Kincardin
Kinloĥbervo	Kinlochbervie
Kinroso	Kinross
Kinstono ĉe la Hulo	Kingston upon Hull
Kintajlo	Kintail
Kio estas al vi?	What’s the matter with you?
Kio estas la nomo de ...?	What is ... called?
Kio estas?	What’s wrong?
Kion fari?	What should we (or I) do?, What is to be done?
Kioto	Kyoto
Kipro	Cyprus
Kirgizio	Kirghizia
Kirgizujo	Kirghizia
Kiribato	Kiribati
Kirkaldo	Kirkcaldy
Kirko	Circe
Kirkudbrito	Kirkcudbright
Kirkvalo	Kirkwall
Kitimato	Kitimat
Kleopatro	Cleopatra
Klevlando	Cleveland (city in Ohio, USA)
Klifdeno	Clifden
Klonmelo	Clonmel
Kloĥo	Clough
Kobeo	Kobe (city in Japan)
Kobolo	COBOL
Kokenzo	Cockenzie
Kokosinsuloj	Cocos Islands
Kolerajno	Coleraine
Kolo	Coll, Kola Peninsula
Kolombio	Colombia
Kolombo	Columba
Kolonjo	Cologne
Kolonsajo	Colonsay
Koloradio	Colorado
Kolumbo	Columbus
Kolvinbajo	Colwyn Bay
Kolĥido	Colchis
Komercurbo	Commerce City
Komino	Comine
Komoroj	Comoro Islands
Konektikuto	Connecticut
Konfuceismo	Confucianism
Konfuceo	Confucius
Kongo	Congo, Zaire
Kongo Brazavila	Republic of the Congo
Kongo Kinŝasa	Democratic Republic of the Congo
Kongolando	Congo
Konstanteno	Constantine
Konstantinopolo	Constantinople
Kontraŭreformacio	Counter-Reformation
Konvejo	Conway
Kopenhago	Copenhagen
Korano	Koran
Korantino	Corantin
Koreio	(the isle of) Korea
Koreo	(the isle of) Korea
Koreujo	Korea
Korsikio	Corsica
Korsiko	Corsica
Kortrajo	Courtrai
Kortrejko	Courtrai
Korveno	Corwen
Kosovo	Kosovo
Kostabravo	Costa Brava
Kostariko	Costa Rica
Kovalo	Cowal
Kozako	Cossack
Koĉero	Auriga
Koŝi-vico	Cauchy sequence, fundamental sequence
Koŝio	Cauchy
Koŝivico	Cauchy’s sequence, fundamental sequence
Krakovo	Cracow / Krakow
Krea Komunaĵo	Creative Commons
Kremlo	Kremlin
Kreolo	Creole
Kreta Maro	Sea of Crete
Kretaceo	Cretaceous
Kreto	Crete
Krianlariko	Crianlarich
Krimeo	Crimea
Kristalveno	Advent
Kristano	Christian
Kristanujo	Christendom
Kristnaska Festo	Christmas, Christmas feast
Kristnaska Insulo	Christmas Island
Kristnaska Viro	Father Christmas
Kristnaskinsulo	Christmas Island
Kristnasko	Christmas, Yule
Kristo	Christ
Kriŝno	Krishna
Kroatio	Croatia
Kroatujo	Croatia
Kromero	Cromer
Krono	Cronus
Ksavero	Xavier
Kualalumpuro	Kuala Lumpur
Kubo	Cuba
Kuirista Markolo	Cook Strait
Kuirista Monto	Mount Cook
Kukinsuloj	Cook Islands
Kulombo	Charles de Coulomb
Kulroso	Culross
Kumarado	Cumbrae
Kumbernaŭldo	Cumbernauld
Kuparo	Cupar
Kuracao	Curaçao
Kuraso	Cura@ao / Curaçao
Kurdio	Kurdistan
Kurdujo	Kurdistan
Kuriloj	Kurile Islands
Kusko	Cuzco
Kuvajto	Kuwait
Kverkaro	Oak Forest
LDA	acid, LSD
LP-disko	LP disc, long-play disc
La Agoj	Acts
La Enlanda Milito	The Civil War
La Ruĝa Muelejo	the Moulin Rouge (club in Paris)
La Sankta Virgulino	The Blessed Virgin
Laborpartio	Labor-Party
Ladono	Ladon
Laerto	Laertes
Lago Arala	Aral Sea
Lakadivoj	Laccadives
Lakta Vojo	Milky Way
Lampetro	Lampeter
Landovero	Llandovery
Lanelo	Saint Asaph
Lankastro	Lancaster
Lanko	Sri Lanka
Lanrago	Lanark
Laocio	Lao-tzu
Laoso	Laos
Laplaco	Laplace
Laponio	Lapland
Laponujo	Lapland
Lapteva Maro	Laptev Sea
Laptevmaro	Sea of Laptev
Largado	Largs
Largo	Largo
Larno	Larne
Las-vegaso	Las Vegas
Lasso	Lhasa
Laterono	Latheron
Latia ligo	Latin League
Latin-Amerika	Latin, Latin American
Latin-Ameriko	Latin America
Latina Biblio	Vulgate
Latina-1a	Latin Alphabet No 1, Latin-1
Latina-2a	Latin Alphabet No 2, Latin-2
Latina-3a	Latin Alphabet No 3, Latin-3
Latinda lingvo	Romance language
Latinida Ameriko	Latin America
Latino	Latin
Latvio	Latvia
Latvujo	Latvia
Lavalo	The Valley
Lavdo	The Lothian
Lazura Bordo	Riviera, French Riviera
Laŭ mi ...	As far as I’m concerned
Laŭ tiu vidpunkto ...	According to that point of view
Laŭrenco	Lawrence
Lebanono	Lebanon
Lebego	Lebesgue
Ledao	Leda
Lejdeno	Leyden
Leningrado	Leningrad
Leno	Lena
Leominstro	Leominster
Leono	Leo
Leporo	Lepus
Lerviko	Lerwick
Lesoto	Lesotho
Leteo	Lethe
Leto	Lethe
Levantenio	Levant (Middle Eastern region)
Levanto	Levant
Leĉestro	Leicester
Lhasao	Lhasa
Liaso	Lias
Libano	Lebanon
Liberio	Liberia
Libio	Libya
Licio	Lycia
Lidio	Lydia
Liero	Lyra
Lieĝo	Li@ge / Liège
Ligo de Nacioj	League of Nations
Ligura Maro	Ligurian Sea
Ligurujo	Liguria
Lilito	Lilith
